averageRuntime,job,testsuite,classname
0.00014628,jenkins_main_trunk,hudson.util.RobustReflectionConverterTest,hudson.util.RobustReflectionConverterTest
0.00008068,jenkins_main_trunk,scripts.BehaviorTest,scripts.BehaviorTest
0.00000045,jenkins_main_trunk,hudson.model.TaskActionTest,hudson.model.TaskActionTest
0.00002985,jenkins_main_trunk,hudson.core.PluginManagerOverrideTest,hudson.core.PluginManagerOverrideTest
0.00000256,jenkins_main_trunk,hudson.logging.LogRecorderTest,hudson.logging.LogRecorderTest
0.00000803,jenkins_main_trunk,hudson.util.SecretTest,hudson.util.SecretTest
0.00013928,jenkins_main_trunk,hudson.cli.ReloadJobCommandTest,hudson.cli.ReloadJobCommandTest
0.00001769,jenkins_main_trunk,hudson.HtmlEscapeTest,hudson.HtmlEscapeTest
0.00000031,jenkins_main_trunk,hudson.model.RunParameterValueTest,hudson.model.RunParameterValueTest
0.00005733,jenkins_main_trunk,hudson.util.AlternativeUiTextProviderTest,hudson.util.AlternativeUiTextProviderTest
0.00011799,jenkins_main_trunk,hudson.slaves.JNLPLauncherTest,hudson.slaves.JNLPLauncherTest
0.00002920,jenkins_main_trunk,hudson.model.LabelLoadStatisticsQueueLengthTest,hudson.model.LabelLoadStatisticsQueueLengthTest
0.00006429,jenkins_main_trunk,lib.form.RowVisibilityGroupTest,lib.form.RowVisibilityGroupTest
0.00021928,jenkins_main_trunk,hudson.security.HudsonPrivateSecurityRealm2Test,hudson.security.HudsonPrivateSecurityRealm2Test
0.00007209,jenkins_main_trunk,hudson.ExtensionListTest,hudson.ExtensionListTest
0.00047569,jenkins_main_trunk,hudson.model.ListViewTest,hudson.model.ListViewTest
0.00001587,jenkins_main_trunk,hudson.model.ViewJobTest,hudson.model.ViewJobTest
0.00002605,jenkins_main_trunk,hudson.console.ConsoleLogFilterTest,hudson.console.ConsoleLogFilterTest
0.00002793,jenkins_main_trunk,lib.form.NameRefTest,lib.form.NameRefTest
0.00002741,jenkins_main_trunk,hudson.RelativePathTest,hudson.RelativePathTest
0.00015781,jenkins_main_trunk,hudson.util.ProcessTreeKillerTest,hudson.util.ProcessTreeKillerTest
0.00000865,jenkins_main_trunk,hudson.util.SecretRewriterTest,hudson.util.SecretRewriterTest
0.00002994,jenkins_main_trunk,jenkins.model.UnlabeledLoadStatisticsTest,jenkins.model.UnlabeledLoadStatisticsTest
0.00071146,jenkins_main_trunk,hudson.model.UserTest,hudson.model.UserTest
0.00003556,jenkins_main_trunk,jenkins.security.Security177Test,jenkins.security.Security177Test
0.00012031,jenkins_main_trunk,hudson.model.UpdateCenter2Test,hudson.model.UpdateCenter2Test
0.00000310,jenkins_main_trunk,hudson.cli.PrivateKeyProviderTest,hudson.cli.PrivateKeyProviderTest
0.00004709,jenkins_main_trunk,hudson.cli.GetNodeCommandTest,hudson.cli.GetNodeCommandTest
0.00000491,jenkins_main_trunk,hudson.util.io.TarArchiverTest,hudson.util.io.TarArchiverTest
0.00001459,jenkins_main_trunk,hudson.cli.GetJobCommandTest,hudson.cli.GetJobCommandTest
0.00000001,jenkins_main_trunk,hudson.model.TimeSeriesTest,hudson.model.TimeSeriesTest
0.00023619,jenkins_main_trunk,hudson.security.LoginTest,hudson.security.LoginTest
0.00004968,jenkins_main_trunk,hudson.model.FreestyleJobPublisherTest,hudson.model.FreestyleJobPublisherTest
0.00005074,jenkins_main_trunk,hudson.cli.UpdateViewCommandTest,hudson.cli.UpdateViewCommandTest
0.00008132,jenkins_main_trunk,hudson.bugs.LoginRedirectTest,hudson.bugs.LoginRedirectTest
0.00022841,jenkins_main_trunk,hudson.cli.SetBuildParameterCommandTest,hudson.cli.SetBuildParameterCommandTest
0.00001316,jenkins_main_trunk,hudson.cli.handlers.ViewOptionHandlerTest,hudson.cli.handlers.ViewOptionHandlerTest
0.00002876,jenkins_main_trunk,hudson.util.ArgumentListBuilder2Test,hudson.util.ArgumentListBuilder2Test
0.00000001,jenkins_main_trunk,jenkins.model.lazy.SortedListTest,jenkins.model.lazy.SortedListTest
0.00000000,jenkins_main_trunk,CoreJellyTest,org.jvnet.hudson.test.junit.FailedTest
0.00000096,jenkins_main_trunk,hudson.util.TextFileTest,hudson.util.TextFileTest
0.00001594,jenkins_main_trunk,jenkins.ExtensionFilterTest,jenkins.ExtensionFilterTest
0.00014488,jenkins_main_trunk,hudson.bugs.JnlpAccessWithSecuredHudsonTest,hudson.bugs.JnlpAccessWithSecuredHudsonTest
0.00065600,jenkins_main_trunk,lib.form.TextAreaTest,lib.form.TextAreaTest
0.00005308,jenkins_main_trunk,lib.layout.TaskTest,lib.layout.TaskTest
0.00000602,jenkins_main_trunk,hudson.slaves.NodeListTest,hudson.slaves.NodeListTest
0.00006977,jenkins_main_trunk,hudson.tasks.LogRotatorTest,hudson.tasks.LogRotatorTest
0.00002877,jenkins_main_trunk,hudson.ExceptionTest,hudson.ExceptionTest
0.00018492,jenkins_main_trunk,hudson.console.ConsoleAnnotatorTest,hudson.console.ConsoleAnnotatorTest
0.00000392,jenkins_main_trunk,hudson.util.io.ZipArchiverTest,hudson.util.io.ZipArchiverTest
0.00022050,jenkins_main_trunk,hudson.model.WorkspaceCleanupThreadTest,hudson.model.WorkspaceCleanupThreadTest
0.00017881,jenkins_main_trunk,hudson.tools.JDKInstallerTest,hudson.tools.JDKInstallerTest
0.00009147,jenkins_main_trunk,hudson.cli.CreateNodeCommandTest,hudson.cli.CreateNodeCommandTest
0.00000064,jenkins_main_trunk,hudson.util.FormValidationTest,hudson.util.FormValidationTest
0.00000053,jenkins_main_trunk,hudson.util.DirScannerTest,hudson.util.DirScannerTest
0.00001459,jenkins_main_trunk,hudson.model.UsageStatisticsTest,hudson.model.UsageStatisticsTest
0.00010159,jenkins_main_trunk,hudson.jobs.CreateItemTest,hudson.jobs.CreateItemTest
0.00006269,jenkins_main_trunk,hudson.model.ItemGroupMixInTest,hudson.model.ItemGroupMixInTest
0.00000862,jenkins_main_trunk,jenkins.model.JenkinsDescriptorTest,jenkins.model.JenkinsDescriptorTest
0.00009747,jenkins_main_trunk,hudson.markup.MarkupFormatterTest,hudson.markup.MarkupFormatterTest
0.00014718,jenkins_main_trunk,hudson.tasks.ArtifactArchiverTest,hudson.tasks.ArtifactArchiverTest
0.00003600,jenkins_main_trunk,hudson.model.AsynchPeopleTest,hudson.model.AsynchPeopleTest
0.00002868,jenkins_main_trunk,hudson.tasks.BatchFileTest,hudson.tasks.BatchFileTest
0.00000519,jenkins_main_trunk,hudson.model.ParametersActionTest,hudson.model.ParametersActionTest
0.00002812,jenkins_main_trunk,hudson.UDPBroadcastThreadTest,hudson.UDPBroadcastThreadTest
0.00014473,jenkins_main_trunk,hudson.slaves.NodeCanTakeTaskTest,hudson.slaves.NodeCanTakeTaskTest
0.00043284,jenkins_main_trunk,hudson.model.FreeStyleProjectTest,hudson.model.FreeStyleProjectTest
0.00001727,jenkins_main_trunk,hudson.util.ConsistentHashTest,hudson.util.ConsistentHashTest
0.00006097,jenkins_main_trunk,hudson.tasks.ShellTest,hudson.tasks.ShellTest
0.00000001,jenkins_main_trunk,jenkins.model.lazy.SortedIntListTest,jenkins.model.lazy.SortedIntListTest
0.00011831,jenkins_main_trunk,lib.form.ComboBoxTest,lib.form.ComboBoxTest
0.00002656,jenkins_main_trunk,org.jvnet.hudson.test.JenkinsRuleTest,org.jvnet.hudson.test.JenkinsRuleTest
0.00023498,jenkins_main_trunk,hudson.slaves.EnvironmentVariableNodePropertyTest,hudson.slaves.EnvironmentVariableNodePropertyTest
0.00000858,jenkins_main_trunk,jenkins.model.JenkinsGetRootUrlTest,jenkins.model.JenkinsGetRootUrlTest
0.00018328,jenkins_main_trunk,hudson.scm.ChangeLogSetTest,hudson.scm.ChangeLogSetTest
0.00004406,jenkins_main_trunk,hudson.console.UrlAnnotatorTest,hudson.console.UrlAnnotatorTest
0.00000046,jenkins_main_trunk,jenkins.widgets.HistoryPageFilterTest,jenkins.widgets.HistoryPageFilterTest
0.00003013,jenkins_main_trunk,lib.form.DropdownListTest,lib.form.DropdownListTest
0.00004566,jenkins_main_trunk,hudson.model.GetEnvironmentOutsideBuildTest,hudson.model.GetEnvironmentOutsideBuildTest
0.00002336,jenkins_main_trunk,hudson.cli.GroovyshCommandTest,hudson.cli.GroovyshCommandTest
0.00000279,jenkins_main_trunk,hudson.cli.ConnectionMockTest,hudson.cli.ConnectionMockTest
0.00000096,jenkins_main_trunk,jenkins.RemotingJarSignatureTest,jenkins.RemotingJarSignatureTest
0.00005604,jenkins_main_trunk,hudson.model.UserPropertyTest,hudson.model.UserPropertyTest
0.00002978,jenkins_main_trunk,lib.form.ValidateButtonTest,lib.form.ValidateButtonTest
0.00000896,jenkins_main_trunk,jenkins.slaves.DefaultJnlpSlaveReceiverTest,jenkins.slaves.DefaultJnlpSlaveReceiverTest
0.00006804,jenkins_main_trunk,jenkins.security.BasicHeaderProcessorTest,jenkins.security.BasicHeaderProcessorTest
0.00004387,jenkins_main_trunk,hudson.cli.CopyJobCommandTest,hudson.cli.CopyJobCommandTest
0.00004422,jenkins_main_trunk,hudson.ExtensionFinderTest,hudson.ExtensionFinderTest
0.00004791,jenkins_main_trunk,hudson.cli.UpdateNodeCommandTest,hudson.cli.UpdateNodeCommandTest
0.00015120,jenkins_main_trunk,hudson.security.TokenBasedRememberMeServices2Test,hudson.security.TokenBasedRememberMeServices2Test
0.00084152,jenkins_main_trunk,hudson.tasks.BuildTriggerTest,hudson.tasks.BuildTriggerTest
0.00002624,jenkins_main_trunk,lib.form.ExpandableTextboxTest,lib.form.ExpandableTextboxTest
0.00000023,jenkins_main_trunk,hudson.util.CopyOnWriteListTest,hudson.util.CopyOnWriteListTest
0.00000009,jenkins_main_trunk,hudson.util.ArgumentListBuilderTest,hudson.util.ArgumentListBuilderTest
0.00006122,jenkins_main_trunk,jenkins.model.lazy.LazyBuildMixInTest,jenkins.model.lazy.LazyBuildMixInTest
0.00074589,jenkins_main_trunk,jenkins.triggers.ReverseBuildTriggerTest,jenkins.triggers.ReverseBuildTriggerTest
0.00033976,jenkins_main_trunk,hudson.tools.ToolLocationNodePropertyTest,hudson.tools.ToolLocationNodePropertyTest
0.00000005,jenkins_main_trunk,hudson.MarkupTextTest,hudson.MarkupTextTest
0.00034017,jenkins_main_trunk,hudson.util.FormFieldValidatorTest,hudson.util.FormFieldValidatorTest
0.00035884,jenkins_main_trunk,jenkins.scm.SCMCheckoutStrategyTest,jenkins.scm.SCMCheckoutStrategyTest
0.00004946,jenkins_main_trunk,hudson.model.labels.LabelAtomPropertyTest,hudson.model.labels.LabelAtomPropertyTest
0.00000047,jenkins_main_trunk,jenkins.ResilientJsonObjectTest,jenkins.ResilientJsonObjectTest
0.00051534,jenkins_main_trunk,hudson.search.SearchTest,hudson.search.SearchTest
0.00000093,jenkins_main_trunk,jenkins.model.lazy.AbstractLazyLoadRunMapTest,jenkins.model.lazy.AbstractLazyLoadRunMapTest
0.00003100,jenkins_main_trunk,hudson.cli.SetBuildDisplayNameCommandTest,hudson.cli.SetBuildDisplayNameCommandTest
0.00001560,jenkins_main_trunk,hudson.model.BuildExecutionTest,hudson.model.BuildExecutionTest
0.00001881,jenkins_main_trunk,jenkins.model.CoreEnvironmentContributorTest,jenkins.model.CoreEnvironmentContributorTest
0.00000045,jenkins_main_trunk,jenkins.util.TreeStringBuilderTest,jenkins.util.TreeStringBuilderTest
0.00000306,jenkins_main_trunk,hudson.UtilTest,hudson.UtilTest
0.00000001,jenkins_main_trunk,hudson.model.BallColorTest,hudson.model.BallColorTest
0.00010904,jenkins_main_trunk,hudson.diagnosis.OldDataMonitorTest,hudson.diagnosis.OldDataMonitorTest
0.00003314,jenkins_main_trunk,hudson.model.RunTest,hudson.model.RunTest
0.00048781,jenkins_main_trunk,hudson.model.HudsonTest,hudson.model.HudsonTest
0.00002568,jenkins_main_trunk,hudson.node_monitors.DiskSpaceMonitorDescriptorTest,hudson.node_monitors.DiskSpaceMonitorDescriptorTest
0.00009422,jenkins_main_trunk,CoreJellyTest,org.jvnet.hudson.test.JellyTestSuiteBuilder$JellyCheck
0.00000234,jenkins_main_trunk,hudson.model.listeners.SCMListenerTest,hudson.model.listeners.SCMListenerTest
0.00147297,jenkins_main_trunk,hudson.model.AbstractProjectTest,hudson.model.AbstractProjectTest
0.00011440,jenkins_main_trunk,jenkins.model.MasterBuildConfigurationTest,jenkins.model.MasterBuildConfigurationTest
0.00111605,jenkins_main_trunk,hudson.model.ProjectTest,hudson.model.ProjectTest
0.00146618,jenkins_main_trunk,hudson.model.QueueTest,hudson.model.QueueTest
0.00161109,jenkins_main_trunk,hudson.model.JobTest,hudson.model.JobTest
0.00041937,jenkins_main_trunk,org.jvnet.hudson.main.UseRecipesWithJenkinsRuleTest,org.jvnet.hudson.main.UseRecipesWithJenkinsRuleTest
0.00003081,jenkins_main_trunk,hudson.console.ExceptionAnnotationTest,hudson.console.ExceptionAnnotationTest
0.00001685,jenkins_main_trunk,jenkins.model.TransientActionFactoryTest,jenkins.model.TransientActionFactoryTest
0.00025591,jenkins_main_trunk,hudson.util.BootFailureTest,hudson.util.BootFailureTest
0.00000016,jenkins_main_trunk,jenkins.util.TimerTest,jenkins.util.TimerTest
0.00003914,jenkins_main_trunk,lib.hudson.ActionsTest,lib.hudson.ActionsTest
0.00000005,jenkins_main_trunk,jenkins.util.VirtualFileTest,jenkins.util.VirtualFileTest
0.00054147,jenkins_main_trunk,hudson.model.NodeTest,hudson.model.NodeTest
0.00000001,jenkins_main_trunk,jenkins.util.MarkFindingOutputStreamTest,jenkins.util.MarkFindingOutputStreamTest
0.00001876,jenkins_main_trunk,hudson.tools.ToolLocationTest,hudson.tools.ToolLocationTest
0.00078071,jenkins_main_trunk,jenkins.model.JenkinsTest,jenkins.model.JenkinsTest
0.00013852,jenkins_main_trunk,hudson.model.AbstractBuildTest,hudson.model.AbstractBuildTest
0.00039078,jenkins_main_trunk,hudson.model.ManagementLinkTest,hudson.model.ManagementLinkTest
0.00012420,jenkins_main_trunk,jenkins.bugs.Jenkins19124Test,jenkins.bugs.Jenkins19124Test
0.00000001,jenkins_main_trunk,hudson.tasks._maven.Maven3MojoNoteTest,hudson.tasks._maven.Maven3MojoNoteTest
0.00005666,jenkins_main_trunk,hudson.model.CauseTest,hudson.model.CauseTest
0.00000020,jenkins_main_trunk,jenkins.security.CryptoConfidentialKeyTest,jenkins.security.CryptoConfidentialKeyTest
0.00000135,jenkins_main_trunk,hudson.util.CopyOnWriteMapTest,hudson.util.CopyOnWriteMapTest
0.00001294,jenkins_main_trunk,hudson.scheduler.CronTabDayOfWeekLocaleTest,hudson.scheduler.CronTabDayOfWeekLocaleTest
0.00000001,jenkins_main_trunk,hudson.util.MultipartFormDataParserTest,hudson.util.MultipartFormDataParserTest
0.00013056,jenkins_main_trunk,hudson.model.ExecutorTest,hudson.model.ExecutorTest
0.00003716,jenkins_main_trunk,hudson.model.UpdateSiteTest,hudson.model.UpdateSiteTest
0.00001659,jenkins_main_trunk,hudson.cli.CreateJobCommandTest,hudson.cli.CreateJobCommandTest
0.00009296,jenkins_main_trunk,hudson.cli.HelpCommandTest,hudson.cli.HelpCommandTest
0.00010589,jenkins_main_trunk,jenkins.widgets.BuildListTableTest,jenkins.widgets.BuildListTableTest
0.00008288,jenkins_main_trunk,jenkins.tasks.SimpleBuildWrapperTest,jenkins.tasks.SimpleBuildWrapperTest
0.00025949,jenkins_main_trunk,hudson.model.RunParameterDefinitionTest,hudson.model.RunParameterDefinitionTest
0.00007491,jenkins_main_trunk,jenkins.security.FrameOptionsPageDecoratorTest,jenkins.security.FrameOptionsPageDecoratorTest
0.00000465,jenkins_main_trunk,hudson.model.LoadStatisticsTest,hudson.model.LoadStatisticsTest
0.00045988,jenkins_main_trunk,lib.form.RepeatableTest,lib.form.RepeatableTest
0.00000057,jenkins_main_trunk,hudson.model.ResourceListTest,hudson.model.ResourceListTest
0.00004873,jenkins_main_trunk,hudson.model.RunMapTest,hudson.model.RunMapTest
0.00009197,jenkins_main_trunk,hudson.logging.LogRecorderManagerTest,hudson.logging.LogRecorderManagerTest
0.00025444,jenkins_main_trunk,hudson.model.ViewPropertyTest,hudson.model.ViewPropertyTest
0.00007325,jenkins_main_trunk,hudson.views.ListViewColumnTest,hudson.views.ListViewColumnTest
0.00053751,jenkins_main_trunk,hudson.security.csrf.DefaultCrumbIssuerTest,hudson.security.csrf.DefaultCrumbIssuerTest
0.00002653,jenkins_main_trunk,hudson.slaves.CommandLauncherTest,hudson.slaves.CommandLauncherTest
0.00000642,jenkins_main_trunk,jenkins.util.AtmostOneTaskExecutorTest,jenkins.util.AtmostOneTaskExecutorTest
0.00013559,jenkins_main_trunk,jenkins.security.Security218BlackBoxTest,jenkins.security.Security218BlackBoxTest
0.00003170,jenkins_main_trunk,hudson.model.AbstractItemSecurityTest,hudson.model.AbstractItemSecurityTest
0.00001608,jenkins_main_trunk,hudson.FileSystemProvisionerTest,hudson.FileSystemProvisionerTest
0.00000515,jenkins_main_trunk,hudson.util.ProcessTreeTest,hudson.util.ProcessTreeTest
0.00003025,jenkins_main_trunk,lib.form.RowSetTest,lib.form.RowSetTest
0.00000016,jenkins_main_trunk,hudson.util.io.ReopenableRotatingFileOutputStreamTest,hudson.util.io.ReopenableRotatingFileOutputStreamTest
0.00001618,jenkins_main_trunk,hudson.cli.CLIRegistererTest,hudson.cli.CLIRegistererTest
0.00000002,jenkins_main_trunk,hudson.model.AutoCompleteSeederTest,hudson.model.AutoCompleteSeederTest
0.00000006,jenkins_main_trunk,hudson.model.DisplayNameListenerTest,hudson.model.DisplayNameListenerTest
0.00035579,jenkins_main_trunk,hudson.tasks.EnvVarsInConfigTasksTest,hudson.tasks.EnvVarsInConfigTasksTest
0.00015015,jenkins_main_trunk,hudson.security.CliAuthenticationTest,hudson.security.CliAuthenticationTest
0.00032414,jenkins_main_trunk,org.jvnet.hudson.main.JenkinsRuleTimeoutTest,org.jvnet.hudson.main.JenkinsRuleTimeoutTest
0.00000003,jenkins_main_trunk,hudson.model.ActionableTest,hudson.model.ActionableTest
0.00008583,jenkins_main_trunk,hudson.cli.CreateViewCommandTest,hudson.cli.CreateViewCommandTest
0.00000150,jenkins_main_trunk,hudson.cli.ConnectionTest,hudson.cli.ConnectionTest
0.00002731,jenkins_main_trunk,hudson.slaves.ComputerConnectorTest,hudson.slaves.ComputerConnectorTest
0.00003366,jenkins_main_trunk,hudson.model.DownloadService2Test,hudson.model.DownloadService2Test
0.00006448,jenkins_main_trunk,jenkins.security.Security218Test,jenkins.security.Security218Test
0.00001619,jenkins_main_trunk,jenkins.model.StartupTest,jenkins.model.StartupTest
0.00010527,jenkins_main_trunk,hudson.pages.SystemConfigurationTestCase,hudson.pages.SystemConfigurationTestCase
0.00011324,jenkins_main_trunk,hudson.cli.DeleteJobCommandTest,hudson.cli.DeleteJobCommandTest
0.00015308,jenkins_main_trunk,hudson.PluginManagerInstalledGUITest,hudson.PluginManagerInstalledGUITest
0.00005748,jenkins_main_trunk,lib.layout.RenderOnDemandTest,lib.layout.RenderOnDemandTest
0.00001642,jenkins_main_trunk,hudson.model.AutoCompletionCandidatesTest,hudson.model.AutoCompletionCandidatesTest
0.00000002,jenkins_main_trunk,hudson.BulkChangeTest,hudson.BulkChangeTest
0.00000056,jenkins_main_trunk,jenkins.model.JDKNameTest,jenkins.model.JDKNameTest
0.00007355,jenkins_main_trunk,hudson.model.SimpleJobTest,hudson.model.SimpleJobTest
0.00020082,jenkins_main_trunk,hudson.slaves.NodePropertyTest,hudson.slaves.NodePropertyTest
0.00014081,jenkins_main_trunk,org.jvnet.hudson.test.SleepBuilderTest,org.jvnet.hudson.test.SleepBuilderTest
0.00007530,jenkins_main_trunk,hudson.model.ComputerConfigDotXmlTest,hudson.model.ComputerConfigDotXmlTest
0.00003127,jenkins_main_trunk,org.jvnet.hudson.main.AppTest,org.jvnet.hudson.main.AppTest
0.00002850,jenkins_main_trunk,hudson.cli.EnableJobCommandTest,hudson.cli.EnableJobCommandTest
0.00000046,jenkins_main_trunk,jenkins.xml.XMLUtilsTest,jenkins.xml.XMLUtilsTest
0.00011325,jenkins_main_trunk,jenkins.model.JenkinsReloadConfigurationTest,jenkins.model.JenkinsReloadConfigurationTest
0.00004236,jenkins_main_trunk,hudson.FunctionsTest,hudson.FunctionsTest
0.00018946,jenkins_main_trunk,hudson.slaves.NodeProvisionerTest,hudson.slaves.NodeProvisionerTest
0.00014139,jenkins_main_trunk,hudson.model.PasswordParameterDefinitionTest,hudson.model.PasswordParameterDefinitionTest
0.00001461,jenkins_main_trunk,hudson.tools.BatchCommandInstallerTest,hudson.tools.BatchCommandInstallerTest
0.00011253,jenkins_main_trunk,hudson.model.ComputerTest,hudson.model.ComputerTest
0.00190502,jenkins_main_trunk,hudson.model.ViewTest,hudson.model.ViewTest
0.00000873,jenkins_main_trunk,jenkins.security.RSADigitalSignatureConfidentialKeyTest,jenkins.security.RSADigitalSignatureConfidentialKeyTest
0.00000012,jenkins_main_trunk,org.jvnet.hudson.test.MemoryAssertTest,org.jvnet.hudson.test.MemoryAssertTest
0.00004015,jenkins_main_trunk,jenkins.security.RekeySecretAdminMonitorTest,jenkins.security.RekeySecretAdminMonitorTest
0.00016017,jenkins_main_trunk,hudson.model.JobQueueTest,hudson.model.JobQueueTest
0.00006266,jenkins_main_trunk,hudson.cli.ViewManipulationTest,hudson.cli.ViewManipulationTest
0.00003363,jenkins_main_trunk,hudson.ProcStarterTest,hudson.ProcStarterTest
0.00000027,jenkins_main_trunk,hudson.util.SubClassGeneratorTest,hudson.util.SubClassGeneratorTest
0.00012126,jenkins_main_trunk,hudson.model.ComputerSetTest,hudson.model.ComputerSetTest
0.00012678,jenkins_main_trunk,hudson.model.DirectlyModifiableViewTest,hudson.model.DirectlyModifiableViewTest
0.00002821,jenkins_main_trunk,lib.form.EnumSetTest,lib.form.EnumSetTest
0.00038649,jenkins_main_trunk,hudson.ClassicPluginStrategyTest,hudson.ClassicPluginStrategyTest
0.00040512,jenkins_main_trunk,hudson.util.RingBufferLogHandlerTest,hudson.util.RingBufferLogHandlerTest
0.00012247,jenkins_main_trunk,hudson.model.queue.QueueTaskDispatcherTest,hudson.model.queue.QueueTaskDispatcherTest
0.00000041,jenkins_main_trunk,hudson.ProxyConfigurationTest,hudson.ProxyConfigurationTest
0.00000104,jenkins_main_trunk,hudson.EnvVarsTest,hudson.EnvVarsTest
0.00008554,jenkins_main_trunk,lib.layout.IconTest,lib.layout.IconTest
0.00005588,jenkins_main_trunk,jenkins.model.PeepholePermalinkTest,jenkins.model.PeepholePermalinkTest
0.00000022,jenkins_main_trunk,hudson.slaves.ComputerLauncherTest,hudson.slaves.ComputerLauncherTest
0.00003314,jenkins_main_trunk,lib.form.AdvancedButtonTest,lib.form.AdvancedButtonTest
0.00000892,jenkins_main_trunk,jenkins.security.RSAConfidentialKeyTest,jenkins.security.RSAConfidentialKeyTest
0.00000093,jenkins_main_trunk,hudson.model.BuildStatusSummaryTest,hudson.model.BuildStatusSummaryTest
0.00000113,jenkins_main_trunk,jenkins.security.HexStringConfidentialKeyTest,jenkins.security.HexStringConfidentialKeyTest
0.00007492,jenkins_main_trunk,hudson.model.DisplayNameTest,hudson.model.DisplayNameTest
0.00020499,jenkins_main_trunk,hudson.triggers.TriggerStartTest,hudson.triggers.TriggerStartTest
0.00000002,jenkins_main_trunk,hudson.util.LineEndNormalizingWriterTest,hudson.util.LineEndNormalizingWriterTest
0.00015359,jenkins_main_trunk,hudson.model.DependencyGraphTest,hudson.model.DependencyGraphTest
0.00014065,jenkins_main_trunk,hudson.model.DirectoryBrowserSupportTest,hudson.model.DirectoryBrowserSupportTest
0.00002177,jenkins_main_trunk,hudson.widgets.HistoryWidgetTest,hudson.widgets.HistoryWidgetTest
0.00002642,jenkins_main_trunk,hudson.model.listeners.ItemListenerTest,hudson.model.listeners.ItemListenerTest
0.00002968,jenkins_main_trunk,hudson.scm.ScmTest,hudson.scm.ScmTest
0.00031098,jenkins_main_trunk,hudson.security.ExtendedReadPermissionTest,hudson.security.ExtendedReadPermissionTest
0.00012037,jenkins_main_trunk,lib.form.RepeatablePropertyTest,lib.form.RepeatablePropertyTest
